sort,family_scientific,family_english,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,red_list,status_birdlife,water_bird,strict_water_bird,ADU,common_name,scientific_name,avibaseid,wikiDataID,iNaturalisttaxonID,IUCNtaxonID,ObservationorgID,GBIFID,Clements--code,Clements--rank,Clements--scientific_name,Clements--common_name,H&M--sort,,,,,
571,Vangidae (Prionopinae),Helmetshrikes and Shrike-flycatchers,,,TRUE,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,729,Chestnut-fronted Helmetshrike,Prionops scopifrons,E27EEDC5103A3CE6,Q1310768,117072,22707801,75859,2484837,chfhel1,species,Prionops scopifrons,Chestnut-fronted Helmetshrike,157-002-001-008,,,,,
572,Vangidae (Prionopinae),Helmetshrikes and Shrike-flycatchers,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2456,African Shrike-flycatcher,Megabyas flammulatus,18A968DBBC13F06C,Q1308363,73009,22707807,199152,7341025,afrshf1,species,Megabyas flammulatus,African Shrike-flycatcher,157-002-004-001,,,,,
573,Vangidae (Prionopinae),Helmetshrikes and Shrike-flycatchers,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,667,Black-and-white Shrike-flycatcher,Bias musicus,F1A4B9556027A416,Q3575048,8626,22707816,75861,2492284,bawfly1,species,Bias musicus,Black-and-white Shrike-flycatcher,157-002-005-001,,,,,
574,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,731,Brubru,Nilaus afer,967545BC8DF77782,Q850113,8580,22707451,75804,2484835,brubru1,species,Nilaus afer,Brubru,160-001-005-001,,,,,
575,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,723,Grey-headed Bush-Shrike,Malaconotus blanchoti,641068BB618346AB,Q570351,8257,22707735,75849,2484814,gyhbus1,species,Malaconotus blanchoti,Gray-headed Bushshrike,160-001-001-002,,,,,
576,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2384,Pink-footed Puffback,Dryoscopus angolensis,201E124351F5280E,Q1028431,8297,22707473,,2484828,pifpuf1,species,Dryoscopus angolensis,Pink-footed Puffback,160-001-002-002,,,,,
577,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,712,Black-backed Puffback,Dryoscopus cubla,0085572849C153F8,Q1317282,8296,22707463,75807,2484832,blbpuf2,species,Dryoscopus cubla,Black-backed Puffback,160-001-002-004,,,,,
578,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2388,Pringle's Puffback,Dryoscopus pringlii,706FEEB46B8561FF,Q1311245,8298,22707459,,2484833,pripuf1,species,Dryoscopus pringlii,Pringle's Puffback,160-001-002-006,,,,,
579,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2386,Northern Puffback,Dryoscopus gambensis,7DE7F0ED411E691E,Q1302770,8295,22707455,75805,2484830,norpuf1,species,Dryoscopus gambensis,Northern Puffback,160-001-002-005,,,,,
580,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,TRUE,,,,,,,,,,,,,,Least Concern,,,,14000,Marsh Tchagra,Bocagia minuta,7DCA1C1EEC95F9A1,Q3728494,73474,,,7340816,martch2,species,Tchagra minutus,Marsh Tchagra,160-001-003-001,,,,,
581,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,714,Brown-crowned Tchagra,Tchagra australis,4F9D43DE9183C4CA,Q1317356,8446,22707505,,2484826,brctch1,species,Tchagra australis,Brown-crowned Tchagra,160-001-004-001,,,,,
582,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,TRUE,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2496,Three-streaked Tchagra,Tchagra jamesi,FA7A6D02EB3CEE23,Q1311227,8450,22707510,75815,2484824,thstch1,species,Tchagra jamesi,Three-streaked Tchagra,160-001-004-002,,,,,
583,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,715,Black-crowned Tchagra,Tchagra senegalus,022798AB098C2792,Q27075303,73475,22707495,,7340799,bkctch1,species,Tchagra senegalus,Black-crowned Tchagra,160-001-004-004,,,,,
584,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,720,Black-fronted Bushshrike,Chlorophoneus nigrifrons,5CE2F0DC962F2EA2,Q3729712,8190,,,2484850,blfbus1,species,Telophorus nigrifrons,Black-fronted Bushshrike,160-001-006-003,,,,,
585,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2498,Bocage's Bushshrike,Chlorophoneus bocagei,EF5EDE6DF9A059A5,Q1312414,8191,,,2484852,gygbus1,species,Telophorus bocagei,Gray-green Bushshrike,160-001-006-005,,,,,
586,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,719,Sulphur-breasted Bushshrike,Chlorophoneus sulfureopectus,F3DCCA8F6D1455FC,Q1305124,8187,,75838,2484849,subbus1,species,Telophorus sulfureopectus,Sulphur-breasted Bushshrike,160-001-006-006,,,,,
587,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,Least Concern,Rare/Accidental,,,2432,Sooty Boubou,Laniarius leucorhynchus,3402C9BB903F3F0E,Q1304928,8213,22707606,75832,2484865,soobou1,species,Laniarius leucorhynchus,Lowland Sooty Boubou,160-001-007-000,,,,,
588,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2430,Slate-coloured Boubou,Laniarius funebris,0868B50DB2E23AFE,Q1302947,8214,22707601,75831,2484861,slcbou1,species,Laniarius funebris,Slate-colored Boubou,160-001-007-005,,,,,
589,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2436,Lühder's Bushshrike,Laniarius luehderi,5AF20251E0C1F606,Q1303002,8207,22707524,,2484862,luebus1,species,Laniarius luehderi,Lühder's Bushshrike,160-001-007-006,,,,,
590,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2440,Red-naped Bushshrike,Laniarius ruficeps,C59DFD442A042E34,Q1302936,8216,22707518,,2484867,renbus1,species,Laniarius ruficeps,Red-naped Bushshrike,160-001-007-007,,,,,
591,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Not Recognized,,,,7866,Tropical Boubou,Laniarius aethiopicus,FBB58997970BB510,,,,,,,,,,,,,,,
591.1,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,14193,Ethiopian Boubou,Laniarius aethiopicus,EBC3B53B35E8FD9B,Q480060,204530,104007160,199158,2484868,trobou2,species,Laniarius aethiopicus,Ethiopian Boubou,160-001-007-009,,,,,
591.2,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Boubou, Laniarius (aethiopicus) major/ambiguus,07F940AAD16D3934,Q16069857,597463,,75823,5845151,trobou1,species,Laniarius major,Tropical Boubou,,,,,,
592,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,7867,East Coast Boubou,Laniarius sublacteus,0133C47B2E80FDF3,Q12261853,144721,22735541,194773,5845139,zanbou1,species,Laniarius sublacteus,Zanzibar Boubou,160-001-007-010,,,,,
593,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,7865,Manda Black Boubou,Laniarius nigerrimus,E7DC526A6B3938EC,Q27075305,558511,22735536,,6100953,sombou1,species,Laniarius nigerrimus,Coastal Boubou,160-001-007-008,,,,,
594,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,,,2438,Papyrus Gonolek,Laniarius mufumbiri,1E5D636D4055B780,Q1313273,8221,22707593,75829,2484866,papgon1,species,Laniarius mufumbiri,Papyrus Gonolek,160-001-007-017,,,,,
595,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2428,Black-headed Gonolek,Laniarius erythrogaster,5E822C9C9CF9077C,Q1029743,8208,22707580,75827,2484871,blhgon1,species,Laniarius erythrogaster,Black-headed Gonolek,160-001-007-015,,,,,
596,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2490,Rosy-patched Bushshrike,Rhodophoneus cruentus,8B8AC14A24011F2E,Q1303970,8593,22707623,,2484816,ropbus1,species,Rhodophoneus cruentus,Rosy-patched Bushshrike,160-001-008-001,,,,,
597,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,721,Gorgeous Bushshrike,Telophorus viridis,ACDC8DEECA339B9E,Q3729690,8194,103707122,199153,2484846,focbus2,species,Telophorus viridis,Four-colored Bushshrike,160-001-009-003,,,,,
598,Malaconotidae,"Bush-shrikes, Tchagras and Puffbacks",,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2500,Doherty's Bushshrike,Telephorus dohertyi,0BC365211C6E75B7,Q1305539,8189,22707701,,2484851,dohbus1,species,Telophorus dohertyi,Doherty's Bushshrike,160-001-009-002,,,,,
599,Dicruridae,Drongos,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,518,Square-tailed Drongo,Dicrurus ludwigii,E79026DEAFCD3557,,,,,,cstdro1,species,Dicrurus ludwigii,Common Square-tailed Drongo,161-001-001-001,,,,,
600,Dicruridae,Drongos,,,,,,,,,,,,,,,,,,,,,,,,,,,,13632,Sharpe’s Square-tailed Drongo,Dicrurus sharpei,1EA13EB3250F414F,Q60748670,,,,3661224,shadro1,species,Dicrurus sharpei,Sharpe's Drongo,161-001-001-001-001,,,,,
601,Dicruridae,Drongos,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,517,Fork-tailed (Common) Drongo,Dicrurus adsimilis,4B54F25AE126FEA6,,,,,,fotdro5,species,Dicrurus adsimilis,Fork-tailed Drongo,161-001-001-003,,,,,
602,Dicruridae,Drongos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glossy-backed (Northern) Drongo,Dicrurus divaricatus,7763FEC88FDE29AC,Q27622126,722839,,,6088917,fotdro4,species,Dicrurus divaricatus,Glossy-backed Drongo,161-001-001-003-001,,,,,
603,Dicruridae,Drongos,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,Least Concern,,,,1093,Velvet-mantled Drongo,Dicrurus modestus,6468F749C92D1C79,,,,,,vemdro6,species,Dicrurus modestus,Velvet-mantled Drongo,161-001-001-004,,,,,
604,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2274,Yellow-billed Shrike,Corvinella corvina,E44FAD6F1D1DBB34,Q611462,12057,22705103,75221,5231300,yebshr1,species,Corvinella corvina,Yellow-billed Shrike,163-001-001-001,,,,,
605,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,724,Magpie Shrike,Urolestes melanoleucus,56A7F384E82F5B76,Q50272172,,,,5231301,magshr1,species,Corvinella melanoleuca,Magpie Shrike,163-001-002-001,,,,,
606,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2276,Northern White-crowned Shrike,Eurocephalus rueppelli,866D07A05D23AEA8,Q2733011,12059,22705114,,6100756,whrshr1,species,Eurocephalus ruppelli,White-rumped Shrike,163-001-003-001,,,,,
607,Laniidae,Shrikes,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,,,708,Red-backed Shrike,Lanius collurio,F2CEFD1A4EA5F608,Q26671,12038,22705001,51,2492852,rebshr1,species,Lanius collurio,Red-backed Shrike,163-001-004-005,,,,,
608,Laniidae,Shrikes,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,Rare/Accidental,,,2288,Isabelline Shrike,Lanius isabellinus,97166F728A7D0E91,Q752678,12042,103718693,1213,2492865,isashr1,species,Lanius isabellinus,Isabelline Shrike,163-001-004-007,,,,,
609,Laniidae,Shrikes,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,,,,Turkestan Shrike (Red-tailed),Lanius phoenicuroides,EE7915A2B3EB856E,Q15055407,339680,103718714,1577,4408670,rutshr2,species,Lanius phoenicuroides,Red-tailed Shrike,163-001-004-006,,,,,
610,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2290,Mackinnon's Shrike,Lanius mackinnoni,7238711291A5E1A9,Q944057,12053,22705070,,2492844,macshr1,species,Lanius mackinnoni,Mackinnon's Shrike,163-001-004-014,,,,,
611,Laniidae,Shrikes,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,,,706,Lesser Grey Shrike,Lanius minor,8852337B06E8A14E,Q239393,12054,22705038,1215,2492854,legshr2,species,Lanius minor,Lesser Gray Shrike,163-001-004-015,,,,,
612,Laniidae,Shrikes,,,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,Least Concern,Rare/Accidental,,,2282,Geat Grey Shrike,Lanius excubitor,DB2501EEBA3D38AA,Q184508,204532,103718932,52,2492858,norshr1,species,Lanius excubitor,Great Gray Shrike,163-001-004-019,,,,,
613,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2284,Grey-backed Fiscal,Lanius excubitoroides,02B6A30CF8E459E2,Q1087308,12050,22705053,,2492853,gybfis1,species,Lanius excubitoroides,Gray-backed Fiscal,163-001-004-022,,,,,
614,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2278,Long-tailed Fiscal,Lanius cabanisi,836EDA3369201791,Q1193338,12048,22705057,,2492869,lotfis1,species,Lanius cabanisi,Long-tailed Fiscal,163-001-004-023,,,,,
615,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2280,Taita Fiscal,Lanius dorsalis,64772F0F1C7581DC,Q1050033,12022,22705061,75215,2492864,taifis1,species,Lanius dorsalis,Taita Fiscal,163-001-004-024,,,,,
616,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2298,Somali Fiscal,Lanius somalicus,F79321856B22FEE2,Q599390,12047,22705066,75216,2492856,somfis1,species,Lanius somalicus,Somali Fiscal,163-001-004-025,,,,,
617,Laniidae,Shrikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,7887,Northern Fiscal,Lanius humeralis ,5792867AF8F9B5C3,Q10784388,201149,,241074,6100755,norfis1,species,Lanius humeralis,Northern Fiscal,163-001-004-027,,,,,
618,Laniidae,Shrikes,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,,,976,Woodchat Shrike,Lanius senator,7E70D490A6476D16,Q235052,12039,22705095,53,2492867,wooshr1,species,Lanius senator,Woodchat Shrike,163-001-004-029,,,,,
619,Laniidae,Shrikes,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,Least Concern,Rare/Accidental,,,2296,Masked Shrike,Lanius nubicus,E90CC64A3A32FE26,Q731085,12023,22705099,1223,2492855,masshr1,species,Lanius nubicus,Masked Shrike,163-001-004-030,,,,,
620,Corvidae,Crows and Allies,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2484,Piapiac,Ptilostomus afer,4C35510F09647DF8,Q386672,8371,22705925,75420,2482461,piapia1,species,Ptilostomus afer,Piapiac,164-002-013-001,,,,,
621,Corvidae,Crows and Allies,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,Introduced species,,,989,House Crow,Corvus splendens,3986890399CA4859,Q507383,8031,22705938,261,2482499,houcro1,species,Corvus splendens,House Crow,164-002-017-044,,,,,
622,Corvidae,Crows and Allies,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,523,Cape Rook,Corvus capensis,562E17ABB38F9FA6,Q1002590,8006,22705978,75432,2482521,capcro2,species,Corvus capensis,Cape Crow,164-002-017-006,,,,,
623,Corvidae,Crows and Allies,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,522,Pied Crow,Corvus albus,34D538E14AA16E13,Q949603,8038,22735894,20821,2482519,piecro1,species,Corvus albus,Pied Crow,164-002-017-020,,,,,
624,Corvidae,Crows and Allies,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2362,Dwarf Raven,Corvus edithae,9DBAAB1D240E45AD,Q1301945,72763,22732286,194811,5788768,somcro2,species,Corvus edithae,Somali Crow,164-002-017-019,,,,,
625,Corvidae,Crows and Allies,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,2368,Fan-tailed Raven,Corvus rhipidurus,32C216E28E856C3E,Q894235,8046,22706073,,2482497,fatrav1,species,Corvus rhipidurus,Fan-tailed Raven,164-002-017-021,,,,,
626,Corvidae,Crows and Allies,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,524,White-necked Raven,Corvus albicollis,EA326EA211784390,Q907903,8004,22706077,9279,2482478,whnrav1,species,Corvus albicollis,White-necked Raven,164-002-017-015,,,,,
627,Monarchidae,Monarchs (Paradise-flycatchers),,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,680,Blue-mantled Crested Flycatcher,Trochocercus cyanomelas,15F017B77422E290,Q2224525,8563,103715475,,2486673,afcfly1,species,Trochocercus cyanomelas,African Crested-Flycatcher,165-001-013-001,,,,,
628,Monarchidae,Monarchs (Paradise-flycatchers),,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,Least Concern,,,,1165,Red-bellied Paradise Flycatcher,Terpsiphone rufiventer,0EDEEB49F2C4E2B9,Q165856,8363,22731073,75715,2486679,bhpfly1,species,Terpsiphone rufiventer,Black-headed Paradise-Flycatcher,165-001-016-014,,,,,
629,Monarchidae,Monarchs (Paradise-flycatchers),,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,682,African Paradise Flycatcher,Terpsiphone viridis,75AAC17B33D1156A,Q541440,8354,22707108,75718,2486688,afpfly1,species,Terpsiphone viridis,African Paradise-Flycatcher,165-001-016-011,,,,,
630,Modulatricidae,Spot-throat and Allies ,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1133,Grey-chested Kakamega (Thrush-babbler),Kakamega poliothorax,FC1BE879ED6B66A1,Q944035,15672,22715933,77405,2492990,gycill1,species,Kakamega poliothorax,Gray-chested Babbler,172-001-004-001,,,,,
631,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,,,769,Plain-backed Sunbird,Anthreptes reichenowi,67F06823660BB33E,Q542925,13365,22717602,77746,2484641,plbsun1,species,Anthreptes reichenowi,Plain-backed Sunbird,174-001-005-001,,,,,
632,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,770,Western Violet-backed Sunbird,Anthreptes longuemarei,857DCDD5EE9607F3,Q3182666,13360,22717635,77753,2484638,wvbsun1,species,Anthreptes longuemarei,Western Violet-backed Sunbird,174-001-005-007,,,,,
633,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3588,Eastern Violet-backed Sunbird,Anthreptes orientalis,2D0C83B26EE8A374,Q3182653,13366,22717640,,2484633,kvbsun1,species,Anthreptes orientalis,Eastern Violet-backed Sunbird,174-001-005-008,,,,,
634,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3586,Uluguru Violet-backed Sunbird,Anthreptes neglectus,56C6CBA85498027C,Q3182646,13368,22717645,77755,2484645,uvbsun1,species,Anthreptes neglectus,Uluguru Violet-backed Sunbird,174-001-005-009,,,,,
635,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3592,Grey-chinned Sunbird,Anthreptes rectirostris,71EF2ACB616B115D,Q2226027,13361,103792746,,2484634,gresun1,species,Anthreptes rectirostris,Green Sunbird,174-001-005-012,,,,,
636,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,771,Collared Sunbird,Anthodiaeta collaris,1611F295EC75FB50,Q839914,145122,22717668,77760,7340984,colsun2,species,Hedydipna collaris,Collared Sunbird,174-001-006-001,,,,,
637,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Endangered,,,,3574,Amani Sunbird,Anthodiaeta pallidigaster ,0B4F3AA2CBA20CDA,Q3729679,145125,22717653,77757,6089255,amasun2,species,Hedydipna pallidigaster,Amani Sunbird,174-001-006-004,,,,,
638,Nectariniidae,Sunbirds,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3576,Pygmy Sunbird,Hedydipna platyura,B0E7740F312E814D,Q27075707,145123,22717672,77761,6089275,pygsun2,species,Hedydipna platura,Pygmy Sunbird,174-001-006-002,,,,,
639,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1068,Green-headed Sunbird,Cyanomitra verticalis,6DE16262C2F04AAA,Q767069,145131,22717738,,7340957,gnhsun1,species,Cyanomitra verticalis,Green-headed Sunbird,174-001-012-001,,,,,
640,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,766,Olive Sunbird,Cyanomitra olivacea,EE79A5EF104F6FF1,Q1083204,145136,22717691,77766,6088979,eaosun1,species,Cyanomitra olivacea,Olive Sunbird,174-001-012-006,,,,,
641,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,765,Mouse-coloured Sunbird,Cyanomitra veroxii,C1CBA33A8C3FE530,Q2606563,145138,,77768,6088910,mocsun2,species,Cyanomitra veroxii,Mouse-colored Sunbird,174-001-012-007,,,,,
642,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1116,Green-throated Sunbird,Chalcomitra rubescens,2E2DE0B662187CF9,Q2226121,145141,22717766,199306,7340886,gntsun1,species,Chalcomitra rubescens,Green-throated Sunbird,174-001-013-003,,,,,
643,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,772,Amethyst Sunbird,Chalcomitra amethystina,B022292CE9F1414D,Q1923701,145142,22717762,77781,7340881,amesun2,species,Chalcomitra amethystina,Amethyst Sunbird,174-001-013-004,,,,,
644,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,774,Scarlet-chested Sunbird,Chalcomitra senegalensis,0059A2E0EAFC6106,Q854678,145143,22717770,77783,7340870,sccsun2,species,Chalcomitra senegalensis,Scarlet-chested Sunbird,174-001-013-005,,,,,
645,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3610,Hunter's Sunbird,Chalcomitra hunteri,8F0526263508CC13,Q1924060,145144,22717774,,7340862,hunsun2,species,Chalcomitra hunteri,Hunter's Sunbird,174-001-013-006,,,,,
646,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3674,Tacazze Sunbird,Nectarinia tacazze,FAFA576B2BC07773,Q1586796,13291,22717958,77825,5230037,tacsun1,species,Nectarinia tacazze,Tacazze Sunbird,174-001-015-003,,,,,
647,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,752,Bronze Sunbird,Nectarinia kilimensis,D4F9B273C9F42251,Q849992,13350,22717970,77828,5229993,brosun1,species,Nectarinia kilimensis,Bronze Sunbird,174-001-015-004,,,,,
648,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,751,Malachite Sunbird,Nectarinia famosa,26F278946C87F037,Q1300638,13300,22717979,77830,5229971,malsun1,species,Nectarinia famosa,Malachite Sunbird,174-001-015-005,,,,,
649,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3646,Scarlet-tufted Sunbird,Nectarinia johnstoni,D91BCC1BC0849BC3,Q56896,13351,22717984,77831,5230017,retsun2,species,Nectarinia johnstoni,Red-tufted Sunbird,174-001-015-006,,,,,
650,Nectariniidae,Sunbirds,,,TRUE,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1118,Golden-winged Sunbird,Drepanorhynchus reichenowi,D33D2F6D30D350FC,Q1924213,145153,22717975,,7340778,gowsun2,species,Drepanorhynchus reichenowi,Golden-winged Sunbird,174-001-016-001,,,,,
651,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1117,Olive-bellied Sunbird,Cinnyris chloropygius,D2B15B3F442AC6C9,Q2226012,145154,22717919,,7340768,olbsun3,species,Cinnyris chloropygius,Olive-bellied Sunbird,174-001-017-001,,,,,
652,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3660,Northern Double-collared Sunbird,Cinnyris reichenowi,A6083057AAFDDFC4,Q3180327,145162,22717887,77812,7340734,ndcsun2,species,Cinnyris reichenowi,Northern Double-collared Sunbird,174-001-017-009,,,,,
653,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,767,Eastern Double-collared Sunbird,Cinnyris mediocris,EF6101F4C6DF98FB,Q40470750,718162,,,7340717,edcsun3,species,Cinnyris mediocris,Eastern Double-collared Sunbird,174-001-017-012,,,,,
654,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,,,3600,Usambara Double-collared Sunbird,Cinnyris usambaricus,CBA39A29C9615463,Q12255843,,103799620,195066,6101108,edcsun4,species,Cinnyris usambaricus,Usambara Double-collared Sunbird,174-001-017-013,,,,,
655,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3686,Beautiful Sunbird,Cinnyris pulchellus,00D5E1C6B9B8D348,Q2225977,145169,103799817,77842,7340702,beasun2,species,Cinnyris pulchellus,Beautiful Sunbird,174-001-017-017,,,,,
656,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,755,Marico Sunbird,Cinnyris mariquensis,5AC9F7371DF94B3C,Q1302897,145170,22718003,77835,7340700,marsun2,species,Cinnyris mariquensis,Mariqua Sunbird,174-001-017-018,,,,,
657,Nectariniidae,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,3638,Red-chested Sunbird,Cinnyris erythrocercus,4C428439DF9CFAF5,Q3175616,145173,22717994,,6087898,recsun2,species,Cinnyris erythrocercus,Red-chested Sunbird,174-001-017-021,,,,,
